pos_x, pos_y, pos_z, pos_yaw, time
-60.086380,-10.395398,1.233645,1.764275,12.123407
-60.111874,-10.227631,1.233626,1.752145,12.138994
-60.135445,-10.059120,1.233610,1.739990,12.154687
-60.157082,-9.889888,1.233597,1.727808,12.169218
-60.176762,-9.719955,1.233586,1.715601,12.186074
-60.194466,-9.549345,1.233577,1.703370,12.201253
-60.194466,-9.549345,1.233577,1.703370,12.215487
-60.210182,-9.378078,1.233572,1.691115,12.231661
-60.223873,-9.206368,1.233573,1.678855,12.246789
-60.235516,-9.034396,1.233585,1.666606,12.261405
-60.245102,-8.862284,1.233610,1.654379,12.277798
-60.252628,-8.690196,1.233647,1.642187,12.292498
-60.258095,-8.518182,1.233695,1.630029,12.307510
-60.261505,-8.346345,1.233756,1.617915,12.323585
-60.262856,-8.174703,1.233826,1.605834,12.339126
-60.262146,-8.003278,1.233903,1.593777,12.354547
-60.259377,-7.832088,1.233985,1.581737,12.370089
-60.254547,-7.661152,1.234071,1.569709,12.386033
-60.247665,-7.490490,1.234159,1.557686,12.400672
-60.238731,-7.320121,1.234247,1.545668,12.417310
-60.238731,-7.320121,1.234247,1.545668,12.433018
-60.227757,-7.150064,1.234335,1.533650,12.447124
-60.214741,-6.980339,1.234422,1.521634,12.462425
-60.199692,-6.810966,1.234506,1.509619,12.477627
-60.182617,-6.641963,1.234588,1.497603,12.492418
-60.163517,-6.473354,1.234667,1.485589,12.508661
-60.142403,-6.305158,1.234743,1.473576,12.522346
-60.119286,-6.137395,1.234815,1.461567,12.537918
-60.094162,-5.970088,1.234883,1.449561,12.553375
-60.067051,-5.803259,1.234947,1.437561,12.569409
-60.037956,-5.636928,1.235008,1.425568,12.585078
-60.006886,-5.471119,1.235064,1.413583,12.600133
-60.006886,-5.471119,1.235064,1.413583,12.616143
-59.973850,-5.305853,1.235117,1.401608,12.630254
-59.938858,-5.141153,1.235165,1.389644,12.646426
-59.901920,-4.977043,1.235210,1.377691,12.660993
-59.863045,-4.813543,1.235252,1.365752,12.677563
-59.822247,-4.650680,1.235289,1.353827,12.693079
-59.779537,-4.488473,1.235323,1.341917,12.707246
-59.734928,-4.326947,1.235353,1.330022,12.723337
-59.688427,-4.166125,1.235380,1.318142,12.739046
-59.640053,-4.006030,1.235404,1.306279,12.753989
-59.589817,-3.846684,1.235424,1.294432,12.771142
-59.537731,-3.688109,1.235441,1.282602,12.785669
-59.483810,-3.530329,1.235455,1.270788,12.801379
-59.428066,-3.373363,1.235465,1.258989,12.817457
-59.370518,-3.217236,1.235472,1.247206,12.833256
-59.311176,-3.061970,1.235477,1.235438,12.850332
-59.311176,-3.061970,1.235477,1.235438,12.864496
